txt_file "Chars\TemplateCharacters\MinifigTemplate_standard"
Ability "StandardCharacterTag"
Ability "GooniesBrandCanBeOthers"
Ability "Twirl"
Ability "Wall_Jump"
Ability "Double_Jump"
Ability "BrandDiving"
Ability "DefLungeShockwave"
Ability "AudioReactionDataBrand"
Ability "Goonies_HudOverride"
Ability "Goonies_Selectionring"
Ability "Goonies_Targeting"
Ability "FromGoonies"
Ability "FromDC"
Ability "FromLEGOMovie"
Ability "FromLOTR"
Ability "FromWizardOfOz"
Ability "FromBTTF"
Ability "FromPortal"
Ability "FromDrWho"
Ability "FromNinjago"
Ability "FromSimpsons"
Ability "FromScoobyDoo"
Ability "FromChima"
Ability "FromJurassic"
Ability "FromGhostbusters"
Ability "FromRetro"
Ability "FromTeenTitans"
Ability "FromGhostbusters2016"
Ability "FromAdventureTime"
Ability "FromET"
Ability "FromFantasticBeasts"
Ability "FromGremlins"
Ability "FromSonic"
Ability "FromKnightRider"
Ability "FromLegoBatman"
Ability "FromHarryPotter"
Ability "FromLegoCity"
Ability "FromBeetleJuice"
Ability "FromPowerPuff"
Ability "FromATeam"
Ability "FromMissionImpossible"
clear_default_items
sfx_Hurt "VO_Brand_PainHvy"
sfx_Die "VO_Brand_Death"
sfx_Doomed "VO_Brand_Death"
vfxlevel_override "VFX_OPUS_Sloth"
                                                                                                                                                                                                                                                                                                                                                                                                                             
