txt_file "Chars\TemplateCharacters\SmallFigTemplate_standard"
Ability "StandardCharacterTag"
Ability "GooniesChunkCanBeOthers"
Ability "DefaultTargeting"
Ability "CanUseSmallAccess"
Ability "ChunkShockwave"
Ability "ChunkSpinAttackAbility"
Ability "DefaultLungeAnim"
Ability "AudioReactionDataChunk"
Ability "ChunkForceItemOutChar"
Ability "Goonies_HudOverride"
Ability "Goonies_Selectionring"
Ability "Goonies_Targeting"
Ability "FromGoonies"
Ability "FromDC"
Ability "FromLEGOMovie"
Ability "FromLOTR"
Ability "FromWizardOfOz"
Ability "FromBTTF"
Ability "FromPortal"
Ability "FromDrWho"
Ability "FromNinjago"
Ability "FromSimpsons"
Ability "FromScoobyDoo"
Ability "FromChima"
Ability "FromJurassic"
Ability "FromGhostbusters"
Ability "FromRetro"
Ability "FromTeenTitans"
Ability "FromGhostbusters2016"
Ability "FromAdventureTime"
Ability "FromET"
Ability "FromFantasticBeasts"
Ability "FromGremlins"
Ability "FromSonic"
Ability "FromKnightRider"
Ability "FromLegoBatman"
Ability "FromHarryPotter"
Ability "FromLegoCity"
Ability "FromBeetleJuice"
Ability "FromPowerPuff"
Ability "FromATeam"
Ability "FromMissionImpossible"
Ability "StandardCharacterTag"
Ability "ImpliedAllowTriggeredIfHitByGun"
clear_default_items
default_item "Goonies_Chunk_Spoon" always_got away
default_item "Goonies_Chunk_Dagger" always_got away
default_item "ChunkHat" always_got away
bolt_type "Goonies_Chunk_IceCream_Bolt"
sfx_Hurt "VO_Chunk_Pain"
sfx_Die "VO_Chunk_Death"
sfx_Doomed "VO_Chunk_Death"
vfxlevel_override "VFX_OPUS_Sloth"
                                                                                                                                                                                                                                                                                                                                                                                                                                 
