txt_file "Chars\TemplateCharacters\SmallFigTemplate_standard"
Ability "StandardCharacterTag"
Ability "GooniesDataCanBeOthers"
Ability "DataAttack"
Ability "CanUseIntelligenceAccess"
Ability "TechnoAccessAbility"
Ability "CanUseSmallAccess"
Ability "Grapples"
Ability "SwingAttach"
Ability "ZeusTrackingCharacter"
Ability "DataXRay"
Ability "Wrench"
Ability "IlluminationWithInteracts"
Ability "DefaultLungeAnim"
Ability "DefLungeShockwave"
Ability "AudioReactionDataData"
Ability "Goonies_HudOverride"
Ability "Goonies_Selectionring"
Ability "Goonies_Targeting"
Ability "FromGoonies"
Ability "FromDC"
Ability "FromLEGOMovie"
Ability "FromLOTR"
Ability "FromWizardOfOz"
Ability "FromBTTF"
Ability "FromPortal"
Ability "FromDrWho"
Ability "FromNinjago"
Ability "FromSimpsons"
Ability "FromScoobyDoo"
Ability "FromChima"
Ability "FromJurassic"
Ability "FromGhostbusters"
Ability "FromRetro"
Ability "FromTeenTitans"
Ability "FromGhostbusters2016"
Ability "FromAdventureTime"
Ability "FromET"
Ability "FromFantasticBeasts"
Ability "FromGremlins"
Ability "FromSonic"
Ability "FromKnightRider"
Ability "FromLegoBatman"
Ability "FromHarryPotter"
Ability "FromLegoCity"
Ability "FromBeetleJuice"
Ability "FromPowerPuff"
Ability "FromATeam"
Ability "FromMissionImpossible"
clear_default_items
default_item "PincherGrapple" always_got away
can_grapple
grapple_gun_locator=1
has_whip tex="25_DatasRope"
sfx_Hurt "VO_Data_Pain"
sfx_Die "VO_Data_Death"
sfx_Doomed "VO_Data_Death"
vfxlevel_override "VFX_OPUS_Sloth"
                                                                                                                                                                                                                                                                                                                                                                                                                               
