txt_file "Chars\TemplateCharacters\MinifigTemplate_standard"
moving_icon_start
cameraOffset x -0.005 y 0.035 z 0 ry 10
action "idle"
moving_icon_end
bolt_type "RavenBolt"
Ability "RavenShooting"
Ability "PreventInteractPortalValveTarget"
Ability "ImpliedInteractRavenPortalTarget"
Ability "PortalRavenInteractAbility"
Ability "RavenLaserVision"
Ability "Raven_ElectricSwitchInteraction"
Ability "CanUseIntelligenceAccess"
Ability "Dash_Attack"
Ability "RavenFlying"
Ability "RavenDrone"
Ability "Magic"
Ability "Spellit"
Ability "MagicLocomote"
Ability "MagicGlowSettings_Raven"
Ability "RavenSpellItEffects"
Ability "RavenMovementSounds"
Ability "DefaultLungeAnim"
Ability "FS_Flying"
Ability "CanUpgradeTTGBook"
Ability "AudioReactionDataTeenTitansGO_Raven"
Ability "ShowDLCMessageTeenTitans"
Ability "UnlockBattleArena" (Checkpoint="TTG_BA_1", UnlockedHint="HINT_TTG_BATTLEARENA_DAY_UNLOCKED", DLCRequiredHint="HINT_DLC_DOWNLOAD_REQUIRED")
Ability "RavenRideLayersHack"
Ability "FromTeenTitans"
Ability "FromDC"
Ability "FromLEGOMovie"
Ability "FromLOTR"
Ability "FromWizardOfOz"
Ability "FromBTTF"
Ability "FromPortal"
Ability "FromDrWho"
Ability "FromNinjago"
Ability "FromSimpsons"
Ability "FromScoobyDoo"
Ability "FromChima"
Ability "FromJurassic"
Ability "FromGhostbusters"
Ability "FromRetro"
Ability "FromGhostbusters2016"
Ability "FromAdventureTime"
Ability "FromET"
Ability "FromFantasticBeasts"
Ability "FromGremlins"
Ability "FromSonic"
Ability "FromKnightRider"
Ability "FromLegoBatman"
Ability "FromGoonies"
Ability "FromHarryPotter"
Ability "FromLegoCity"
Ability "FromBeetleJuice"
Ability "FromPowerPuff"
Ability "FromATeam"
Ability "FromMissionImpossible"
Ability "TTG_HudOverride"
Ability "PurpleLightConstructAbility"
Ability "Raven_Selectionring"
Ability "Raven_Targeting"
Ability "ContentUnlock" (WorldName=#HUBW_TeenTitans,WorldHint="HINT_RAVEN");
Ability "PreventInteractWaterGrowSpot"
Ability "CanUseTTGContextSwitch"
Ability "StandardCharacterTag"
vfxlevel_override "VFX_TTGRaven"
sfx_Hurt "VO_Raven_Pain"
sfx_Die "VO_Raven_Death"
sfx_Doomed "VO_Raven_Death"
                                       
