txt_file "Chars\TemplateCharacters\BigfigTemplate_standard"
ride_locator = 8
TargetHeight=0.2
Ability "AT_HudOverride"
Ability "AudioReactionDataJakeSuit"
Ability "CanBeRidden"
Ability "RideablePlayer"
Ability "SuppressTaggableWhenRidden"
Ability "TransformJakeCharWaitStream"
Ability "DrawFaceOnJakeSuitAbility"
Ability "JakeTransformChooser"
Ability "DefaultLungeAnim"
Ability "JakeSuitShockwave"
Ability "JakeSuitGroundCrackAttack"
Ability "PunchEffect_JakeSuit"
Ability "AttackStreaks_JakeSuit"
Ability "InteractWithCrackedLegoDefault"
Ability "JakeGodRaysCallOut"
Ability "Super_Strength"
Ability "DefaultSmashAttack"
Ability "StandardCharacterTag"
Ability "FromAdventureTime"
Ability "FromDC"
Ability "FromLEGOMovie"
Ability "FromLOTR"
Ability "FromWizardOfOz"
Ability "FromBTTF"
Ability "FromPortal"
Ability "FromDrWho"
Ability "FromNinjago"
Ability "FromSimpsons"
Ability "FromScoobyDoo"
Ability "FromChima"
Ability "FromJurassic"
Ability "FromGhostbusters"
Ability "FromRetro"
Ability "FromTeenTitans"
Ability "FromGhostbusters2016"
Ability "FromET"
Ability "FromFantasticBeasts"
Ability "FromGremlins"
Ability "FromSonic"
Ability "FromKnightRider"
Ability "FromLegoBatman"
Ability "FromGoonies"
Ability "FromHarryPotter"
Ability "FromLegoCity"
Ability "FromBeetleJuice"
Ability "FromPowerPuff"
Ability "FromATeam"
Ability "FromMissionImpossible"
Ability "JakeBig_Selectionring"
Ability "CanRideVehicle" suppress
Ability "CanRideRidable" suppress
Ability "CanUseSwitches" suppress
Ability "Wall_Climbing" suppress
sfx_Hurt "VO_Jake_Pain"
sfx_Die "VO_Jake_Death"
sfx_Doomed "VO_Jake_Death"
vfxlevel_override "VFX_Jake"
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
