txt_file "Chars\TemplateCharacters\MinifigTemplate_standard"
Ability "Wall_Jump"
Ability "Twirl"
Ability "EthanHuntClimbing"
Ability "ClimbTerrainAbility"
Ability "CanUseMIScanDisguiseSwitch"
Ability "EthanHuntScanDisguiseAbility"
Ability "DefaultXRay"
Ability "Double_Jump"
Ability "EthanDiving"
Ability "EthanDrone"
Ability "EthanInvisibility"
Ability "MIFuseBoxAccess"
Ability "TechnoAccessAbility"
Ability "Grapples"
Ability "SwingAttach"
Ability "CanUseMIGrapple"
Ability "CanUpgradeMIBikeAndMICar"
Ability "MI_HudOverride"
Ability "EthanHunt_Selectionring"
Ability "EthanHunt_Targeting"
Ability "DefaultLungeAnim"
Ability "prevent_quickjump"
Ability "FromMissionImpossible"
Ability "FromDC"
Ability "FromLEGOMovie"
Ability "FromLOTR"
Ability "FromWizardOfOz"
Ability "FromBTTF"
Ability "FromPortal"
Ability "FromDrWho"
Ability "FromNinjago"
Ability "FromSimpsons"
Ability "FromScoobyDoo"
Ability "FromChima"
Ability "FromJurassic"
Ability "FromGhostbusters"
Ability "FromRetro"
Ability "FromTeenTitans"
Ability "FromGhostbusters2016"
Ability "FromAdventureTime"
Ability "FromET"
Ability "FromFantasticBeasts"
Ability "FromGremlins"
Ability "FromSonic"
Ability "FromKnightRider"
Ability "FromLegoBatman"
Ability "FromGoonies"
Ability "FromHarryPotter"
Ability "FromLegoCity"
Ability "FromBeetleJuice"
Ability "FromPowerPuff"
Ability "FromATeam"
Ability "StandardCharacterTag"
Ability "WalkOnTightRope"
Ability "InteractPreventUnderwaterDroneMaze"
Ability "SilverHint"
Ability "ImpliedInteractWithLegoSilver"
clear_default_items
default_item "MI_SilencedPistol" always_got away
default_item "MI_RedGreenGum" always_got away
default_item "MI_GrappleGun" always_got away
can_grapple
grapple_gun_locator=1
has_whip tex="7_LEGOBlackRope3D"
sfx_Hurt "VO_GenMale1_Pain"
sfx_Die "VO_GenMale1_Death"
sfx_Doomed "VO_GenMale1_Death"
vfxlevel_override "VFX_EthanHunt"
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
