txt_file "Chars\TemplateCharacters\MinifigTemplate_standard"
icon_override "Murdock"
name MURDOCK
Ability "BaBaracusTargeting"
Ability "DefLungeShockwave"
Ability "MurdockCanBeOthers"
Ability "ATEAM_HudOverride"
Ability "FromATeam"
Ability "FromDC"
Ability "FromLEGOMovie"
Ability "FromLOTR"
Ability "FromWizardOfOz"
Ability "FromBTTF"
Ability "FromPortal"
Ability "FromDrWho"
Ability "FromNinjago"
Ability "FromSimpsons"
Ability "FromScoobyDoo"
Ability "FromChima"
Ability "FromJurassic"
Ability "FromGhostbusters"
Ability "FromRetro"
Ability "FromTeenTitans"
Ability "FromGhostbusters2016"
Ability "FromAdventureTime"
Ability "FromET"
Ability "FromFantasticBeasts"
Ability "FromGremlins"
Ability "FromSonic"
Ability "FromKnightRider"
Ability "FromLegoBatman"
Ability "FromGoonies"
Ability "FromHarryPotter"
Ability "FromLegoCity"
Ability "FromBeetleJuice"
Ability "FromPowerPuff"
Ability "FromMissionImpossible"
default_item "BA_Baracus_TNT" always_got away
default_item "ATeam_GoonGun" always_got away
sfx_Hurt "VO_Murdock_Pain"
sfx_Die "VO_Murdock_Death"
sfx_Doomed "VO_Murdock_Death"
vfxlevel_override "VFX_BABaracus"
                                                                                                                                                                                                                                                                                                                                                                                                    
